Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng,crime_percentage,restaurant_num,restaurant_star,trans_time_driv,trans_time_walk,trans_time_bike
15213,3408 Parkview Avenue Apartments,"Oakland, Pittsburgh, PA",795 - 1395,1-3,1,,Y,N,40.4306925,-79.9527988,,0.393217953936553,0.7285714285714285,0.4444444444444444,0.30158730158730157,0.30434782608695654
15213,Dawson Village Apartments,"Oakland, Pittsburgh, PA",920,1,1,,Y,N,40.4389909,-79.9528168,,0.7397551944184558,0.7408163265306122,0.37037037037037035,0.3253968253968254,0.2608695652173913
15213,Centre Towers Apartments,"Shadyside, Pittsburgh, PA",780 - 955,Studio-1,1,,N,N,40.452776,-79.947715,,0.6975592254896887,0.6230769230769231,0.37037037037037035,0.2857142857142857,0.30434782608695654
15213,The Camelot Apartments,"North Oakland, Pittsburgh, PA",1392 - 2088,2,1-2,,N,N,40.450925,-79.952523,,0.7804322968356335,0.6918032786885246,0.4444444444444444,0.21428571428571427,0.2608695652173913
15213,Schenley Apartments,"North Oakland, Pittsburgh, PA",1395 - 2750,1-2,1-2,,Y,N,40.450199,-79.954562,,0.6160990961898495,0.6839999999999999,0.4074074074074074,0.2619047619047619,0.2608695652173913
15213,Oak Hill Apartments - Pittsburgh,"Terrace Village, Pittsburgh, PA",1080 - 1600,1-2,1-2,,Y,N,40.442811799999994,-79.97065289999998,,0.13107265131218435,0.2,0.7777777777777778,0.49206349206349204,0.5
15213,Royal Windsor Apartments,"North Oakland, Pittsburgh, PA",825 - 969,Studio-1,1,,N,N,40.4508529,-79.94982910000002,,0.803381375673721,0.6840579710144927,0.48148148148148145,0.20634920634920634,0.2826086956521739
15213,University Commons Apartments,"North Oakland, Pittsburgh, PA",870 - 945,1,1,,N,N,40.4390875,-79.9633696,,0.6009631911364649,0.6652173913043479,0.6666666666666666,0.38095238095238093,0.3695652173913043
15213,Neville Street Properties - Student Housing,"North Oakland, Pittsburgh, PA",1030,1,1,,N,N,40.44941,-79.94888900000001,,0.8487915499877139,0.6613636363636364,0.3333333333333333,0.1984126984126984,0.17391304347826086
15213,Sherwood Towers Apartments,"North Oakland, Pittsburgh, PA",1158 - 2497,Studio-3,1-2,,Y,N,40.45095870000001,-79.9511017,,0.803381375673721,0.6797101449275362,0.3333333333333333,0.1984126984126984,0.17391304347826086
15213,University Loft Apartments,"Oakland, Pittsburgh, PA",2575,3,2,,N,N,40.4386951,-79.952362,,0.7112349081206636,0.7571428571428571,0.25925925925925924,0.23015873015873015,0.2608695652173913
15213,Chalfont Apartments,"Shadyside, Pittsburgh, PA",Contact For Price,Studio-2,1-2,,Y,N,40.452627,-79.948037,,0.7155821769123607,0.6395348837209303,0.37037037037037035,0.2777777777777778,0.2826086956521739
15213,Hampshire Hall Apartments,"Shadyside, Pittsburgh, PA",530 - 625,Studio-1,1,,N,Y,40.452626,-79.94836099999998,,0.7434998289426279,0.648,0.37037037037037035,0.2698412698412698,0.2826086956521739
15213,Webster Hall Apartments,"North Oakland, Pittsburgh, PA",1850,2,2,,N,N,40.4468884,-79.95113719999998,,0.7804322968356335,0.7049180327868853,0.4074074074074074,0.12698412698412698,0.15217391304347827
15213,3445 Parkview Ave #HOUSE,"Oakland, Pittsburgh, PA",2600,5,2.5,,N,N,40.4356845,-79.95212029999998,,0.5567871217690253,0.7722222222222223,0.2222222222222222,0.30158730158730157,0.30434782608695654
15213,3201 Ophelia St,"Oakland, Pittsburgh, PA",1425,3,1,,N,N,40.43478899999999,-79.962233,,0.5567871217690253,0.6944444444444444,0.6296296296296297,0.4126984126984127,0.391304347826087
15213,352 Melwood Ave,"North Oakland, Pittsburgh, PA",900,2,1,,Y,N,40.453871,-79.95156659999998,,0.7742318113774163,0.7,0.4444444444444444,0.2777777777777778,0.2826086956521739
15213,335 Melwood Ave,"North Oakland, Pittsburgh, PA",850,2,1,,N,N,40.4531383,-79.95174639999998,,0.7742318113774163,0.7,0.4444444444444444,0.2698412698412698,0.2826086956521739
15213,514 Semple St #2,"Oakland, Pittsburgh, PA",1200,2,1,,N,N,40.4361801,-79.95347890000001,,0.7067853413204971,0.7390243902439024,0.3333333333333333,0.2857142857142857,0.2826086956521739
15213,3237 Dawson St #2,"Oakland, Pittsburgh, PA",650,1,1,,N,Y,40.43096449999999,-79.95422190000001,,0.393217953936553,0.6714285714285715,0.2962962962962963,0.3968253968253968,0.34782608695652173
15213,3753 Childs St,"Oakland, Pittsburgh, PA",2250,4,2.5,1836.0,N,N,40.4294078,-79.9512934,,0.30434127155313573,0.85,0.4074074074074074,0.40476190476190477,0.41304347826086957
15213,3329 Parkview Ave,"Oakland, Pittsburgh, PA",2200,4,2,1300.0,N,N,40.432633200000005,-79.95298580000001,,0.6086825431062715,0.7541666666666667,0.2962962962962963,0.31746031746031744,0.391304347826087
15213,236 Meyran Ave #1,"Oakland, Pittsburgh, PA",1175,2,1,450.0,N,Y,40.439461,-79.957284,,0.9423893674018602,0.686896551724138,0.4074074074074074,0.2619047619047619,0.2391304347826087
15213,341 Meyran Ave #1,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.438387299999995,-79.9553181,,0.8922580580571382,0.7027027027027027,0.2962962962962963,0.30158730158730157,0.2826086956521739
15213,3821 Bates St #2,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.439357799999996,-79.952867,,0.7543083629119199,0.7377358490566037,0.2222222222222222,0.23015873015873015,0.21739130434782608
15213,514 Semple St #1A,"Oakland, Pittsburgh, PA",800,1,1,,N,Y,40.4361801,-79.95347890000001,,0.7067853413204971,0.7390243902439024,0.3333333333333333,0.2857142857142857,0.2826086956521739
15213,3731 Dawson St #1,"Oakland, Pittsburgh, PA",1800,4,1,,N,N,40.4381961,-79.95214890000001,,0.6086825431062715,0.7583333333333333,0.25925925925925924,0.23809523809523808,0.2608695652173913
15213,309 McKee Pl,"Oakland, Pittsburgh, PA",1750,3,1,,N,N,40.43830620000001,-79.95706290000001,,0.9436801428167134,0.6924657534246575,0.4074074074074074,0.30952380952380953,0.2608695652173913
15213,512 Semple St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,Y,40.436156,-79.9536384,,0.7155821769123607,0.741860465116279,0.3333333333333333,0.2857142857142857,0.30434782608695654
15213,375 Meyran Ave #3,"Oakland, Pittsburgh, PA",700,1,1,,N,N,40.437767799999996,-79.95450629999998,,0.8113167160896758,0.7138888888888889,0.2962962962962963,0.2857142857142857,0.2826086956521739
15213,3292 Dawson St,"Oakland, Pittsburgh, PA",1800,3,1,1380.0,N,N,40.4327008,-79.9533478,,0.6160990961898495,0.744,0.25925925925925924,0.35714285714285715,0.30434782608695654
15213,15 Oakland Sq,"Oakland, Pittsburgh, PA",2800,4,2,2607.0,N,N,40.4367289,-79.9516431,,0.43541392286532016,0.7555555555555555,0.3333333333333333,0.2698412698412698,0.2826086956521739
15213,336 Oakland Ave #2,"Oakland, Pittsburgh, PA",1400,2,1,,N,Y,40.4392935,-79.95451229999998,,0.842307559432848,0.7176470588235294,0.2962962962962963,0.23809523809523808,0.2391304347826087
15213,420 Oakland Ave,"Oakland, Pittsburgh, PA",1450,2,1,,N,Y,40.4380938,-79.95280059999999,,0.7239879102675078,0.7244444444444444,0.2962962962962963,0.25396825396825395,0.2608695652173913
15213,3460 Dawson St #1,"Oakland, Pittsburgh, PA",2400,4,1,,N,N,40.4360788,-79.95263969999998,,0.6553632565609218,0.7354838709677419,0.2962962962962963,0.2777777777777778,0.2826086956521739
15213,3359 Parkview Ave,"Oakland, Pittsburgh, PA",1650,3,1,1100.0,N,N,40.4333579,-79.9526375,,0.6160990961898495,0.744,0.3333333333333333,0.30158730158730157,0.34782608695652173
15213,3612 Dawson Street,"Oakland, Pittsburgh, PA",1950,3,1,,N,N,40.4367014,-79.95234239999998,,0.643159160065232,0.7448275862068965,0.2962962962962963,0.2619047619047619,0.2826086956521739
15213,416 Oakland Ave #6,"Oakland, Pittsburgh, PA",1950,3,1,,N,N,40.4382094,-79.95317209999999,,0.7434998289426279,0.73,0.2962962962962963,0.25396825396825395,0.2826086956521739
15213,3349 1/2 Parkview Ave,"Oakland, Pittsburgh, PA",1800,3,1.5,1050.0,N,N,40.433145,-79.9526812,,0.6160990961898495,0.732,0.3333333333333333,0.30952380952380953,0.3695652173913043
15213,3201 Joe Hammer Sq,"Oakland, Pittsburgh, PA",1575,3,1,950.0,N,N,40.4347773,-79.962215,,0.5664865741775045,0.7,0.6296296296296297,0.4523809523809524,0.391304347826087
15213,416 Oakland Ave #4,"Oakland, Pittsburgh, PA",1875,3,1,,N,N,40.4382094,-79.95317209999999,,0.7434998289426279,0.73,0.2962962962962963,0.25396825396825395,0.2826086956521739
