,Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng
114,15213,339 Oakland Ave,"Oakland, Pittsburgh, PA",3000,5,2,2630.0,N,N,40.4394666,-79.9540097
115,15213,3327 Niagara St,"Oakland, Pittsburgh, PA",995,2,1,,Y,N,40.43562259999999,-79.9596088
116,15213,3314 Dawson St,"Oakland, Pittsburgh, PA",1395,4,1,,N,N,40.4331848,-79.9532329
117,15213,3213 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N,40.4311795,-79.95549919999999
119,15213,371 S Bouquet St,"Oakland, Pittsburgh, PA",1500,3,1,,N,N,40.4397116,-79.95206929999999
120,15213,273 Robinson St,"West Oakland, Pittsburgh, PA",1495,3,1,,N,N,40.4424252,-79.965892
121,15213,331 Mckee Place,"Oakland, Pittsburgh, PA",1250 - 1800,2-3,1,,N,N,40.437969,-79.9564692
122,15213,229 N Dithridge St #3,"North Oakland, Pittsburgh, PA",1995,3,1,850.0,N,Y,40.4497328,-79.952561
123,15213,3319 Ward St,"Oakland, Pittsburgh, PA",1950,3,1,2203.0,N,N,40.4336775,-79.95505240000001
124,15213,344 Melwood Ave #1,"North Oakland, Pittsburgh, PA",1800,4,1,,Y,N,40.4535691,-79.9513808
125,15213,322 McKee Pl #1,"Oakland, Pittsburgh, PA",900,1,1,,Y,N,40.4371443,-79.9568444
127,15213,4628 Bayard St #B2,"North Oakland, Pittsburgh, PA",970,1,1,605.0,N,N,40.4499124,-79.9494357
128,15213,513 N Neville St #A4,"Shadyside, Pittsburgh, PA",975,1,1,,N,N,40.4500518,-79.94810249999999
