Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished
15213,225 Melwood Ave #15,"North Oakland, Pittsburgh, PA",1100,1,1,776 ,Y,N
15213,415 Semple St #2,"Oakland, Pittsburgh, PA",3300,6,2,,N,N
15213,3716 Orpwood St #1,"Oakland, Pittsburgh, PA",425,,,,N,N
15213,515 Cato St #3,"Oakland, Pittsburgh, PA",800,,,,N,Y
15213,351 Atwood St,"Oakland, Pittsburgh, PA",5000,8,4,1600 ,Y,N
15213,3614 Bates St,"Oakland, Pittsburgh, PA",4300,7,3,,N,N
15213,342 Meyran Ave,"Oakland, Pittsburgh, PA",5000,8,3,,N,N
15213,3325 Ward St,"Oakland, Pittsburgh, PA",2750,5,3,2600 ,N,N
15213,3228 Parkview Ave,"Oakland, Pittsburgh, PA",3100,5,1.5,1900 ,N,N
15213,3313 Juliet St,"Oakland, Pittsburgh, PA",3450,6,3,2246 ,N,N
15213,3442 Dawson St #1,"Oakland, Pittsburgh, PA",3400,6,2,2000 ,N,N
15213,21 Wellsford St #1-2,"Oakland, Pittsburgh, PA",3600,6,2,,N,N
15213,214 Dunseith St,"West Oakland, Pittsburgh, PA",3125,5,2,,N,N
15213,515 Cato St,"Oakland, Pittsburgh, PA",800,2,1,,N,N
15213,765 Broughton St #5,"Bloomfield, Oakland, PA",900,1,1,,Y,N
15213,3221 Niagara St,"Oakland, Pittsburgh, PA",1200,3,1,1984 ,Y,N
15213,264 Melwood Ave #1R,"North Oakland, Pittsburgh, PA",1200,4,2,1500 ,N,N
15213,749 S Millvale Ave #42,"Bloomfield, Pittsburgh, PA",1080,2,1,,N,N
15213,3209 Parkview Ave,"Oakland, Pittsburgh, PA",1096,2,1,1200 ,Y,N
15213,358 Ophelia St,"Oakland, Pittsburgh, PA",1600,4,2,1320 ,N,N
15213,3761 Childs St,"Oakland, Pittsburgh, PA",2250,5,3,1520 ,Y,Y
15213,264 Melwood Ave #R1,"North Oakland, Pittsburgh, PA",1200,4,2,1500 ,N,N
15213,67 Bates St,"Oakland, Pittsburgh, PA",1600,4,1.5,1798 ,Y,N
15213,155 Chesterfield Rd,"West Oakland, Pittsburgh, PA",1195,3,1,,N,N
15213,245 N Dithridge St #2,"North Oakland, Pittsburgh, PA",675,,,,N,Y
15213,306 Ophelia St,"Oakland, Pittsburgh, PA",1700,5,2,1770 ,N,N
15213,3203 Niagara St,"Oakland, Pittsburgh, PA",1350,3,2,1324 ,N,N
